date,ticker,agg_sent,agg_news,n_sent,n_news,sent_lo,sent_hi,news_lo,news_hi,low_n,combined,agg_earnings,actual_ret,momentum,window,ret_resid,sig_resid
2026-01-28,HEROMOTOCO.NS,0.265,-0.7808,5,4,-0.2925,0.5759,-1.0,-0.2632,True,-0.2579,,0.0039002120057356,-0.0121852486780529,jan-B,0.0046811776179404,-0.1879604166666666
2026-01-28,BAJAJ-AUTO.NS,0.265,-0.7808,5,4,-0.315,0.5625,-1.0,-0.2632,True,-0.2579,,0.0173848112566192,0.027614434821144,jan-B,0.018165776868824,-0.1879604166666666
2026-01-28,DIVISLAB.NS,-0.2687,-0.8843,7,6,-0.7421,0.3747,-1.0,-0.5604,False,-0.5765,,-0.0221396250808015,0.0291036088474971,jan-B,-0.0213586594685968,-0.5065604166666666
2026-01-28,TECHM.NS,0.7373,0.1314,10,10,0.529,0.8505,-0.3245,0.5172,False,0.4343499999999999,0.2477,-0.0112315211038164,0.0502830053107312,jan-B,-0.0104505554916116,0.5042895833333333
2026-01-28,INDUSINDBK.NS,0.1698,-0.2748,9,6,-0.5487,0.7015,-1.0,0.5599,False,-0.0524999999999999,0.1972,-0.0062105318235351,-0.0038115363353876,jan-B,-0.0054295662113303,0.0174395833333333
2026-01-28,APOLLOHOSP.NS,0.6151,-0.7808,6,4,-0.0766,0.7795,-1.0,-0.2632,True,-0.08285,,0.0120683655323003,-0.0050632938252359,jan-B,0.0128493311445051,-0.0129104166666667
2026-01-28,TATACONSUM.NS,0.2911,0.477,11,10,-0.435,0.8356,-0.0921,0.8184,False,0.38405,0.1116,0.0018554673691606,-0.0448944517007828,jan-B,0.0026364329813654,0.4539895833333333
2026-01-28,SBILIFE.NS,0.071,-0.1751,7,6,-0.5105,0.7228,-0.8644,0.5343,False,-0.05205,,-0.0266412621132637,0.0020007844692975,jan-B,-0.025860296501059,0.0178895833333333
2026-01-28,HDFCLIFE.NS,0.265,-0.2991,5,5,-0.315,0.558,-1.0,0.4733,False,-0.0170499999999999,0.1213,0.0032939926710302,-0.0047807390266184,jan-B,0.004074958283235,0.0528895833333333
2026-01-28,SHRIRAMFIN.NS,0.4859,-0.3956,7,5,-0.6771,0.8554,-1.0,-0.0645,False,0.0451499999999999,0.092,0.0011778682974181,0.0316961901700949,jan-B,0.0019588339096229,0.1150895833333333
2026-01-28,BPCL.NS,0.8254,-0.1273,9,8,0.5102,0.8956,-0.7519,0.3351,False,0.34905,,0.0059334564050552,0.0201294625603198,jan-B,0.00671442201726,0.4189895833333333
2026-02-12,RELIANCE.NS,-0.2206,-0.2803,13,9,-0.6818,0.6568,-0.7683,0.4008,False,-0.25045,0.1498,-0.0202222440028838,0.0038103931770443,feb-A,-0.0075380808053061,-0.1652552083333333
2026-02-12,TCS.NS,-0.362,-0.1796,15,9,-0.8914,0.3323,-0.7201,0.3544,False,-0.2708,0.2331,-0.0210538003573601,-0.0806953110879776,feb-A,-0.0083696371597824,-0.1856052083333333
2026-02-12,HDFCBANK.NS,0.2758,-0.3265,10,6,-0.7178,0.7723,-0.8511,0.3265,False,-0.02535,0.0644,-0.0181403415339962,-0.0306412477656872,feb-A,-0.0054561783364185,0.0598447916666666
