window,ticker,n_sent,n_news,sent,news_lm,news_fb,combined_lm,combined_fb,ret_resid,agg_sent,agg_news
jan-B,ULTRACEMCO.NS,8,5,0.839520057706699,-0.3956160968213604,0.48562616997195757,0.2219519804426693,0.6625731138393283,-0.0049369007620413,0.8395,-0.3956
jan-B,NESTLEIND.NS,7,6,0.7573599860528316,-0.46343674950867897,0.5119013307236732,0.14696161827207632,0.6346306583882524,0.0317312019973284,0.7574,-0.4634
jan-B,ONGC.NS,10,6,0.7742000294671162,-0.33132691959477806,0.49704865054321334,0.22143655493616907,0.6356243400051648,0.002195864875936,0.7742,-0.3313
jan-B,NTPC.NS,5,4,0.2650058903083932,-0.7808399112299537,0.08398745146735441,-0.2579170104607802,0.17449667088787382,0.0236225488950571,0.265,-0.7808
jan-B,POWERGRID.NS,7,5,0.7972341018857908,0.06916653004386579,0.46249748485837744,0.4332003159648283,0.6298657933720841,-0.011921120728105,0.7972,0.0692
jan-B,M&M.NS,8,7,0.4802119607956991,-0.2011335095736584,0.31017758658638944,0.13953922561102036,0.3951947736910443,-0.0042636541808108,0.4802,-0.2011
jan-B,TATASTEEL.NS,5,4,0.2650058903083932,-0.7808399112299537,0.08398745146735441,-0.2579170104607802,0.17449667088787382,-0.0029332882194826,0.265,-0.7808
jan-B,JSWSTEEL.NS,10,8,0.842521427953323,-0.009069403785726092,0.7188032489760668,0.41672601208379845,0.7806623384646949,-0.00274732431156,0.8425,-0.0091
jan-B,ADANIENT.NS,8,5,-0.21030375361950743,-0.44928779856438805,-0.28125638753310994,-0.32979577609194777,-0.24578007057630868,0.0136651513289857,-0.2103,-0.4493
jan-B,ADANIPORTS.NS,9,7,-0.3758798172508657,-0.5420859966444811,-0.16876326920450224,-0.4589829069476734,-0.272321543227684,0.0282069913914661,-0.3759,-0.5421
jan-B,COALINDIA.NS,6,5,0.46580871499195914,-0.17021193259404996,0.36704549372614137,0.1477983911989546,0.4164271043590503,-0.006650591407028,0.4658,-0.1702
jan-B,BAJAJFINSV.NS,6,5,-0.20944390591531017,-0.856239138621539,-0.2766280440169453,-0.5328415222684246,-0.24303597496612772,0.0071201535977131,-0.2094,-0.8562
jan-B,GRASIM.NS,7,6,0.7329448269365606,-0.6706680675932828,0.5536041728515906,0.031138379671638905,0.6432744998940756,-0.0062987768994605,0.7329,-0.6707
jan-B,HINDALCO.NS,6,5,0.7381252181260632,-0.3956160968213604,0.4711711483985946,0.17125456065235142,0.6046481832623289,-0.0348832661907799,0.7381,-0.3956
jan-B,DRREDDY.NS,13,12,0.5806304181837123,0.0634798196259411,0.4827756130994245,0.3220551189048267,0.5317030156415684,-0.0028182363624884,0.5806,0.0635
jan-B,CIPLA.NS,11,10,-0.8403902625889067,-0.3652789383002156,-0.7614060909596929,-0.6028346004445612,-0.8008981767742998,-0.0025313092834228,-0.8404,-0.3653
jan-B,BRITANNIA.NS,6,5,0.4775533542680672,-0.23431982346229555,0.28043091839506074,0.12161676540288584,0.378992136331564,0.0202643090931128,0.4776,-0.2343
jan-B,EICHERMOT.NS,6,5,0.60471945267168,-0.4928801722127306,0.33369440158164804,0.05591964022947471,0.469206927126664,0.0080642353053174,0.6047,-0.4929
jan-B,HEROMOTOCO.NS,5,4,0.2650058903083932,-0.7808399112299537,0.08398745146735441,-0.2579170104607802,0.17449667088787382,0.0046811776179404,0.265,-0.7808
jan-B,BAJAJ-AUTO.NS,5,4,0.2650058903083932,-0.7808399112299537,0.08398745146735441,-0.2579170104607802,0.17449667088787382,0.018165776868824,0.265,-0.7808
jan-B,DIVISLAB.NS,7,6,-0.26867410521049034,-0.8843371859166094,-0.3588013231662422,-0.5765056455635499,-0.31373771418836627,-0.0213586594685968,-0.2687,-0.8843
jan-B,TECHM.NS,10,10,0.7372795501886237,0.13143238062378873,0.6907881781443999,0.4343559654062062,0.7140338641665118,-0.0104505554916116,0.7373,0.1314
jan-B,INDUSINDBK.NS,9,6,0.16981781909133106,-0.27479446156594595,0.07860029134331273,-0.05248832123730744,0.1242090552173219,-0.0054295662113303,0.1698,-0.2748
jan-B,APOLLOHOSP.NS,6,4,0.6151257404354862,-0.7808399112299537,0.08398745146735441,-0.08285708539723374,0.3495565959514203,0.0128493311445051,0.6151,-0.7808
jan-B,TATACONSUM.NS,11,10,0.2911212494492717,0.47703082778870953,0.24029040909560054,0.38407603861899065,0.26570582927243613,0.0026364329813654,0.2911,0.477
