ticker,quarter,quarter_end,transcript_date,finbert_sent,lm_polarity,lm_uncertainty,lm_modal,n_chunks,source,agg_earnings,t_date,qkey,surprise_finbert,surprise_agg,fwd_1,fwd_5,fwd_20
CIPLA.NS,Q3FY25,2024-12-31,2025-02-01,0.3467,-0.0599,0,0,20,screener.in (BSE transcript),0.184,2025-02-01,"(25, 3)",-0.0031999999999999806,-0.016699999999999993,-0.006341472820074023,0.028710722114233755,-0.02268304600017723
CIPLA.NS,Q4FY25,2025-03-31,2025-05-01,0.354,-0.1055,0,0,20,screener.in (BSE transcript),0.1702,2025-05-01,"(25, 4)",0.007299999999999973,-0.013800000000000007,-0.003577194257350924,-0.04396748156288699,-0.04000005520675087
CIPLA.NS,Q1FY26,2025-06-30,2025-07-01,0.4489,0.0174,0,0,20,screener.in (BSE transcript),0.2763,2025-07-01,"(26, 1)",0.09490000000000004,0.1061,-0.007719162109984912,-0.01959489310997653,0.03866210315580276
CIPLA.NS,Q2FY26,2025-09-30,2025-11-01,0.4409,0.069,0,0,19,screener.in (BSE transcript),0.2921,2025-11-01,"(26, 2)",-0.008000000000000007,0.015800000000000036,0.005722226279863074,0.005589200092165125,0.011377929131952902
CIPLA.NS,Q3FY26,2025-12-31,2026-01-01,0.3464,0.0325,0,0,20,screener.in (BSE transcript),0.2209,2026-01-01,"(26, 3)",-0.09450000000000003,-0.07120000000000001,0.00672930769761626,-0.024118893255970608,-0.11386501527782766
CIPLA.NS,Q4FY26,2026-03-31,2026-05-01,0.4782,0.2155,0,0,20,screener.in (BSE transcript),0.3731,2026-05-01,"(26, 4)",0.13180000000000003,0.15219999999999997,0.014393940814549477,0.020454565511286216,0.06818186631439072
DIVISLAB.NS,Q2FY25,2024-09-30,2024-11-01,0.3331,0.085,0,0,19,screener.in (BSE transcript),0.2339,2024-11-01,"(25, 2)",0.0832,0.043399999999999994,-0.0007198299436182998,0.0424693463036121,0.054325203704139735
DIVISLAB.NS,Q3FY25,2024-12-31,2025-02-01,0.3477,0.0769,0,0,19,screener.in (BSE transcript),0.2394,2025-02-01,"(25, 3)",0.014600000000000002,0.005500000000000005,0.07669521262415224,0.09307713091189918,-0.021178088693111663
DIVISLAB.NS,Q4FY25,2025-03-31,2025-05-01,0.3995,0.0805,0,0,19,screener.in (BSE transcript),0.2719,2025-05-01,"(25, 4)",0.05180000000000001,0.03249999999999997,0.020641425707680572,-0.03922699574090338,0.08577296168742099
DIVISLAB.NS,Q1FY26,2025-06-30,2025-08-01,0.2346,0.0441,0,0,19,screener.in (BSE transcript),0.1584,2025-08-01,"(26, 1)",-0.16490000000000002,-0.11349999999999996,0.01844005021971129,-0.0754865034526051,-0.03562460765850595
DIVISLAB.NS,Q2FY26,2025-09-30,2025-11-01,0.2948,-0.0708,0,0,20,screener.in (BSE transcript),0.1485,2025-11-01,"(26, 2)",0.060200000000000004,-0.00990000000000002,0.00964677945978032,-0.004007123775601085,-0.05008904719501339
DIVISLAB.NS,Q3FY26,2025-12-31,2026-02-01,0.3735,0.1278,0,0,19,screener.in (BSE transcript),0.2752,2026-02-01,"(26, 3)",0.07869999999999999,0.1267,0.015521796565389767,0.003797886393659189,0.035584544253632666
DIVISLAB.NS,Q4FY26,2026-03-31,2026-05-01,0.3103,-0.1439,0,0,19,screener.in (BSE transcript),0.1286,2026-05-01,"(26, 4)",-0.06319999999999998,-0.1466,0.017209588199139425,0.02950215119852495,0.027965580823601677
DRREDDY.NS,Q2FY25,2024-09-30,2024-11-01,0.4031,0.0421,0,0,19,screener.in (BSE transcript),0.2587,2024-11-01,"(25, 2)",0.1355,0.06519999999999998,0.0043664987694544966,0.01937123853494538,-0.0278660041507498
DRREDDY.NS,Q3FY25,2024-12-31,2025-01-01,0.2372,0.0634,0,0,19,screener.in (BSE transcript),0.1677,2025-01-01,"(25, 3)",-0.16590000000000002,-0.091,0.002624989236703623,0.00623430281083337,-0.13376353043728129
DRREDDY.NS,Q4FY25,2025-03-31,2025-05-01,0.2002,-0.0374,0,0,19,screener.in (BSE transcript),0.1052,2025-05-01,"(25, 4)",-0.037000000000000005,-0.062499999999999986,0.010713381732060379,-0.028568958872926542,0.06130432157794252
DRREDDY.NS,Q1FY26,2025-06-30,2025-07-01,0.0574,-0.0081,0,0,23,screener.in (BSE transcript),0.0312,2025-07-01,"(26, 1)",-0.14279999999999998,-0.07400000000000001,-0.0008621106599907558,0.0031347691044776305,0.02377170626225844
DRREDDY.NS,Q2FY26,2025-09-30,2025-10-01,0.1729,-0.0281,0,0,21,screener.in (BSE transcript),0.0925,2025-10-01,"(26, 2)",0.11549999999999999,0.0613,0.003456810574336888,0.0045823225822025915,-0.03778438707092979
DRREDDY.NS,Q3FY26,2025-12-31,2026-01-01,0.062,0.0132,0,0,21,screener.in (BSE transcript),0.0425,2026-01-01,"(26, 3)",-0.1109,-0.049999999999999996,0.005604483586869602,-0.033626901521216945,-0.04763811048839073
DRREDDY.NS,Q4FY26,2026-03-31,2026-05-01,-0.0808,-0.0821,0,0,19,screener.in (BSE transcript),-0.0813,2026-05-01,"(26, 4)",-0.14279999999999998,-0.1238,-0.024545473040956445,-0.024242424242424288,-0.007500018495501859
EICHERMOT.NS,Q2FY25,2024-09-30,2024-11-01,0.3224,0.0113,0,0,26,screener.in (BSE transcript),0.198,2024-11-01,"(25, 2)",-0.08859999999999996,-0.057699999999999974,-0.034103273992798666,-0.04806645294711598,-0.03326370896082054
EICHERMOT.NS,Q3FY25,2024-12-31,2025-02-01,0.464,-0.0445,0,0,21,screener.in (BSE transcript),0.2606,2025-02-01,"(25, 3)",0.1416,0.06259999999999999,-0.00689693883155551,-0.03139010872242065,-0.12340810480704445
EICHERMOT.NS,Q4FY25,2025-03-31,2025-05-01,0.4632,-0.016,0,0,21,screener.in (BSE transcript),0.2715,2025-05-01,"(25, 4)",-0.0008000000000000229,0.01090000000000002,-0.01627694096501786,-0.04766187160952884,-0.03273380972599893
EICHERMOT.NS,Q1FY26,2025-06-30,2025-08-01,0.4118,0.0068,0,0,18,screener.in (BSE transcript),0.2498,2025-08-01,"(26, 1)",-0.0514,-0.021700000000000025,0.01763907734056991,0.02704658525554038,0.14862053369516048
EICHERMOT.NS,Q2FY26,2025-09-30,2025-11-01,0.5229,0.0721,0,0,21,screener.in (BSE transcript),0.3426,2025-11-01,"(26, 2)",0.11110000000000003,0.09280000000000002,0.002844950213371167,-0.022546230440967263,0.013513513513513598
EICHERMOT.NS,Q3FY26,2025-12-31,2026-02-01,0.4673,0.0776,0,0,22,screener.in (BSE transcript),0.3114,2026-02-01,"(26, 3)",-0.05560000000000004,-0.031200000000000006,0.058045554739162286,0.04570168993387225,0.14621601763409253
EICHERMOT.NS,Q4FY26,2026-03-31,2026-05-01,0.4977,0.0933,0,0,22,screener.in (BSE transcript),0.336,2026-05-01,"(26, 4)",0.030399999999999983,0.02460000000000001,0.0303840202560135,0.02250668167112102,0.00956533971022644
GRASIM.NS,Q2FY25,2024-09-30,2024-11-01,0.1841,-0.0717,0,0,21,screener.in (BSE transcript),0.0818,2024-11-01,"(25, 2)",-0.06859999999999997,-0.0401,-0.039326502978151434,-0.06252201871402263,0.004320232586984218
GRASIM.NS,Q3FY25,2024-12-31,2025-02-01,0.3319,-0.1395,0,0,19,screener.in (BSE transcript),0.1433,2025-02-01,"(25, 3)",0.14779999999999996,0.06150000000000001,0.019437557160187913,0.027708856689374617,-0.02564101289121723
